Environment,Agent,Mean_Reward,Std_Reward,Success_Rate,Baseline_Passed,Model_Type
CartPole-v1,standard_ppo,210.7000,26.9835,0.0000,False,PPO
CartPole-v1,ppo,63.5500,18.2057,0.0000,False,PPO
CartPole-v1,baseline,232.6500,52.2449,0.0000,False,PPO
CartPole-v1,lstm,177.5000,38.7537,0.0000,False,RecurrentPPO
CartPole-v1,recurrent,179.6500,85.5759,0.0000,False,RecurrentPPO
CartPole-v1,memory,12.0000,1.5492,0.0000,False,RecurrentPPO
CartPole-v1,ld,29.3500,4.3160,0.0000,False,RecurrentPPOLD
CartPole-v1,lambda_discrepancy,44.6000,6.6738,0.0000,False,RecurrentPPOLD
CartPole-v1,partial_obs,31.8500,3.3208,0.0000,False,RecurrentPPOLD
MountainCar-v0,standard_ppo,-200.0000,0.0000,0.0000,False,PPO
MountainCar-v0,ppo,-200.0000,0.0000,0.0000,False,PPO
MountainCar-v0,baseline,-200.0000,0.0000,0.0000,False,PPO
MountainCar-v0,lstm,-200.0000,0.0000,0.0000,False,RecurrentPPO
MountainCar-v0,recurrent,-200.0000,0.0000,0.0000,False,RecurrentPPO
MountainCar-v0,memory,-200.0000,0.0000,0.0000,False,RecurrentPPO
MountainCar-v0,ld,-200.0000,0.0000,0.0000,False,RecurrentPPOLD
MountainCar-v0,lambda_discrepancy,-200.0000,0.0000,0.0000,False,RecurrentPPOLD
MountainCar-v0,partial_obs,-200.0000,0.0000,0.0000,False,RecurrentPPOLD
FrozenLake-v1,standard_ppo,0.3500,0.4770,0.3500,False,PPO
FrozenLake-v1,ppo,0.3500,0.4770,0.3500,False,PPO
FrozenLake-v1,baseline,0.8000,0.4000,0.8000,True,PPO
FrozenLake-v1,lstm,0.0500,0.2179,0.0500,False,RecurrentPPO
FrozenLake-v1,recurrent,0.1500,0.3571,0.1500,False,RecurrentPPO
FrozenLake-v1,memory,0.1000,0.3000,0.1000,False,RecurrentPPO
FrozenLake-v1,ld,0.6000,0.4899,0.6000,False,RecurrentPPOLD
FrozenLake-v1,lambda_discrepancy,0.3500,0.4770,0.3500,False,RecurrentPPOLD
FrozenLake-v1,partial_obs,0.1500,0.3571,0.1500,False,RecurrentPPOLD
